作答ID,开始时间,结束时间,作答总时长(秒),作答渠道,省份,城市,设备类型,操作系统类型,浏览器类型,质检结果,你的身份是？,请选择你的年龄段,你使用 AI 工具(ChatGPT、Claude、豆包、Kimi、DeepSeek 等)的情况是?,你平时使用本地生活类 App 的频率如何？例如美团、大众点评、高德、小红书等。,你在哪类本地生活选择中最容易纠结？,在这类最容易纠结的选择中，你通常的状态更接近哪一种？,"如果有一个 AI 本地生活管家(能帮你做吃饭、出行、约饭、周末等本地生活决策),最接近你的真实反应是?",你更希望 AI 管家以哪种方式工作？,你平均多久会和朋友 / 同学 / 同事进行一次线下约饭、聚会或一起出行？,你是否经常遇到“和朋友约饭 / 聚会很难定下来”的情况？,"如果下次约饭遇到分歧,你最可能怎么做?",在多人决策中，你更希望 AI 怎么推荐？,AI 生成多人方案后，你是否希望它说明“照顾了谁的偏好、牺牲了什么”？,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最看重,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最不看重,如果 AI 发现推荐方案不满足你的条件，你希望它优先怎么做？,为保证问卷质量，本题请选择特定选项,你是否希望 AI 管家记住你的个人长期偏好？例如不吃辣、预算、人均消费、常去区域等,关于 AI 记录朋友 / 同事 / 小团体偏好，你更能接受哪种方式？,"请你回想最近一次""做本地生活决策很累""的经历,可能是吃饭、约人、规划周末或别的事。请用 1-2 句话描述这件事",school_work_status,school_work_rule
oBoxYN6RoEn,2026-05-07 17:59:30,2026-05-07 18:07:44,494,匿名作答,广东省,汕头市,MOBILE,iOS,WeChat,未检测,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,D. 通常懒得做决定，希望有人直接给方案,C. 朋友 / 同学推荐后，我才会尝试,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否排队太久,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,C. 看具体记什么,C. 可以记录，但我希望能随时查看、修改或删除,,在校,18-22 岁 + 专科/本科生
oBoxYp1ZqO0,2026-05-07 17:56:02,2026-05-07 18:03:15,433,匿名作答,广东省,广州市,MOBILE,iOS,WeChat,未检测,E. 已工作 1-3 年,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",C. 每周 1-2 次,B. 和朋友约饭 / 聚会地点,D. 通常懒得做决定，希望有人直接给方案,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否有人的需求被明显牺牲,是否超预算,B. 主动追问缺失信息后再修改,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,,已工作,明确选择已工作 1-3 年/3 年以上
WPgNlgqlJyG,2026-05-07 17:43:45,2026-05-07 17:46:35,170,匿名作答,广东省,广州市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,A. 我问它，它再回答,B. 每周 1-2 次,D. 几乎没有,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否太远,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,吃饭大家的时间不一致不好协调,在校,18-22 岁 + 专科/本科生
mnG5lVor5mg,2026-05-07 17:35:56,2026-05-07 17:38:17,141,匿名作答,广东省,广州市,MOBILE,iOS,WeChat,未检测,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,D. 几乎没有,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否超预算,A. 自动重新生成更符合条件的方案,满意,C. 看具体记什么,C. 可以记录，但我希望能随时查看、修改或删除,,在校,18-22 岁 + 专科/本科生
nNVOgEVg1Rm,2026-05-07 17:25:42,2026-05-07 17:29:01,199,匿名作答,广东省,广州市,COMPUTER,Mac OS X,WeChat,未检测,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,D. 我不希望 AI 主动提醒我,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否超预算,A. 自动重新生成更符合条件的方案,满意,C. 看具体记什么,B. 可以记录，但需要每个人自己填写或确认后才能使用,约朋友不知道去哪家餐厅,在校,18-22 岁 + 专科/本科生
WPgNw9pZqnE,2026-05-07 17:24:15,2026-05-07 17:28:13,238,匿名作答,广东省,广州市,COMPUTER,Windows,WeChat,未检测,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,D. 怎么安排本地路线 / 活动顺序,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否排队太久,是否太远,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,,在校,18-22 岁 + 专科/本科生
oBox2dyoxDN,2026-05-07 17:20:42,2026-05-07 17:25:24,282,匿名作答,广东省,广州市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,A. 经常,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否太远,B. 主动追问缺失信息后再修改,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,自驾游不知道吃啥，因为理论上哪都能去，导致范围太大无法决定目的地。,在校,18-22 岁 + 专科/本科生
mnG5xY3dabA,2026-05-07 17:19:50,2026-05-07 17:24:37,287,匿名作答,江苏省,苏州市,MOBILE,Android,WeChat,未检测,C. 研究生,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,B. 需要比较多个 App 或问朋友后才能决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,B. 它可以在合适时间主动提醒我,D. 很少,C. 很少,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,D. 不太希望，觉得解释太多会麻烦,是否排队太久,是否有人的需求被明显牺牲,C. 直接告诉我哪里不满足，由我决定是否调整,满意,C. 看具体记什么,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
vN6BX6yjnGV,2026-05-07 17:12:38,2026-05-07 17:24:21,703,匿名作答,辽宁省,大连市,MOBILE,iOS,WeChat,未检测,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,A. 偶尔纠结，但通常能较快决定,"F. 不会用,我不太放心 AI 帮我做生活决策",C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,A. 经常,D. 直接选择最常去、最稳妥的地方,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否超预算,E. 不需要 AI 主动处理，我会重新提问,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,多人出行但就就餐意见不合遂各往各店导致不欢而散,在校,18-22 岁 + 专科/本科生
nNVORP6XEod,2026-05-07 17:16:27,2026-05-07 17:24:10,463,匿名作答,广东省,广州市,COMPUTER,Windows,WeChat,未检测,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,E. 我基本不纠结,,"E. 不会用,我习惯自己做决定",D. 我不希望 AI 主动提醒我,B. 每周 1-2 次,B. 有时,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,D. 不太希望，觉得解释太多会麻烦,是否有人的需求被明显牺牲,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,,在校,18-22 岁 + 专科/本科生
mnG5x0ZqgQA,2026-05-07 17:16:04,2026-05-07 17:17:57,113,匿名作答,广东省,广州市,MOBILE,iOS,WeChat,未检测,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,E. 我基本不纠结,,A. 会主动尝试，即使需要花时间适应新工具,A. 我问它，它再回答,D. 很少,D. 几乎没有,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否排队太久,B. 主动追问缺失信息后再修改,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,吃什么外卖,在校,18-22 岁 + 专科/本科生
nNVOR6YXqmR,2026-05-07 17:12:47,2026-05-07 17:17:40,293,匿名作答,广东省,珠海市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,C.每周使用几次，有需要时才用,B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,C. 很少,D. 直接选择最常去、最稳妥的地方,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否营业,是否太远,B. 主动追问缺失信息后再修改,满意,C. 看具体记什么,B. 可以记录，但需要每个人自己填写或确认后才能使用,一个人想吃烧烤，但是没有找到合适的店,在校,18-22 岁 + 专科/本科生
WPgNaE4oKvB,2026-05-07 17:13:19,2026-05-07 17:16:42,203,匿名作答,广东省,广州市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,C.每周使用几次，有需要时才用,A. 几乎每天使用,A. 一个人吃什么/点什么外卖,D. 通常懒得做决定，希望有人直接给方案,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,D. 很少,B. 有时,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否排队太久,是否超预算,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,每天点外卖都很累,在校,18-22 岁 + 专科/本科生
WPgNa9lxg64,2026-05-07 17:09:40,2026-05-07 17:13:30,230,匿名作答,广东省,广州市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,C.每周使用几次，有需要时才用,A. 几乎每天使用,A. 一个人吃什么/点什么外卖,D. 通常懒得做决定，希望有人直接给方案,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,A. 经常,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否排队太久,是否超预算,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,,在校,18-22 岁 + 专科/本科生
mnG5jVWDoP4,2026-05-07 16:24:08,2026-05-07 16:39:14,906,匿名作答,广东省,广州市,COMPUTER,Windows,WeChat,未检测,C. 研究生,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否超预算,B. 主动追问缺失信息后再修改,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,,在校,23-26 岁 + 研究生/博士生
nNVOKnRkO9B,2026-05-07 16:27:47,2026-05-07 16:32:23,276,匿名作答,广东省,广州市,MOBILE,iOS,WeChat,未检测,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,D. 怎么安排本地路线 / 活动顺序,C. 经常拖很久也决定不了,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否营业,是否超预算,B. 主动追问缺失信息后再修改,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,,在校,18-22 岁 + 专科/本科生
